,video_id,channelTitle,publishedAt,title,description,tags,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
0,ECduJk00mUU,Alex The Analyst,2022-11-29T12:00:07Z,While Loops in Python | Python for Beginners,"In this series we will be walking through everything you need to know to get started in Python! In this video we learn about While Loops in Python.

Code in GitHub: https://github.com/AlexTheAnalyst/PythonYouTubeSeries/blob/main/Python%20Basics%20101%20-%20While%20Loops.ipynb

Favorite Python Courses:
📖Python for Everybody Specialization - https://imp.i384100.net/jWdkA0
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
____________________________________________ 

SUBSCRIBE!
Do you want to become a Data Analyst? That's what this channel is all about! My goal is to help you learn everything you need in order to start your career or even switch your career into Data Analytics. Be sure to subscribe to not miss out on any content!
____________________________________________ 

RESOURCES:

Coursera Courses:
📖Google Data Analyst Certification: https://coursera.pxf.io/5bBd62
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
📖IBM Data Analysis Specialization - https://coursera.pxf.io/AoYOdR
📖Tableau Data Visualization - https://coursera.pxf.io/MXYqaN

Udemy Courses:
📖Python for Data Analysis and Visualization- https://bit.ly/3hhX4LX
📖Statistics for Data Science - https://bit.ly/37jqDbq
📖SQL for Data Analysts (SSMS) - https://bit.ly/3fkqEij
📖Tableau A-Z - http://bit.ly/385lYvN

*Please note I may earn a small commission for any purchase through these links - Thanks for supporting the channel!*
____________________________________________ 

SUPPORT MY CHANNEL - PATREON/MERCH

🙌Patreon Page - https://www.patreon.com/AlexTheAnalyst

💻Alex The Analyst Shop - https://teespring.com/stores/alex-the-analyst-shop

____________________________________________ 

Websites: 
💻Website: AlexTheAnalyst.com
💾GitHub: https://github.com/AlexTheAnalyst
📱Instagram: @Alex_The_Analyst
____________________________________________

0:00 Intro
0:35 Syntax of While Loop
1:57 Break Statement in While Loop
2:44 Else Statement in While Loop
3:50 Continue Statement in While Loop
5:18 Outro

*All opinions or statements in this video are my own and do not reflect the opinion of the company I work for or have ever worked for*","['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'while loops in python', 'python while loops', 'while loops', 'while loop in python', 'how to use a while loop', 'how to use a while loop in python']",1508,75,0,13,PT5M40S,hd,false
1,zmIdC0_0BgY,Alex The Analyst,2022-11-22T12:00:48Z,For Loops in Python | Python for Beginners,"In this series we will be walking through everything you need to know to get started in Python! In this video we learn about For Loops in Python.

Code in GitHub: https://github.com/AlexTheAnalyst/PythonYouTubeSeries/blob/main/Python%20Basics%20101%20-%20For%20Loops%20%2B%20Nested%20For%20Loops.ipynb

Favorite Python Courses:
📖Python for Everybody Specialization - https://imp.i384100.net/jWdkA0
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
____________________________________________ 

SUBSCRIBE!
Do you want to become a Data Analyst? That's what this channel is all about! My goal is to help you learn everything you need in order to start your career or even switch your career into Data Analytics. Be sure to subscribe to not miss out on any content!
____________________________________________ 

RESOURCES:

Coursera Courses:
📖Google Data Analyst Certification: https://coursera.pxf.io/5bBd62
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
📖IBM Data Analysis Specialization - https://coursera.pxf.io/AoYOdR
📖Tableau Data Visualization - https://coursera.pxf.io/MXYqaN

Udemy Courses:
📖Python for Data Analysis and Visualization- https://bit.ly/3hhX4LX
📖Statistics for Data Science - https://bit.ly/37jqDbq
📖SQL for Data Analysts (SSMS) - https://bit.ly/3fkqEij
📖Tableau A-Z - http://bit.ly/385lYvN

*Please note I may earn a small commission for any purchase through these links - Thanks for supporting the channel!*
____________________________________________ 

SUPPORT MY CHANNEL - PATREON/MERCH

🙌Patreon Page - https://www.patreon.com/AlexTheAnalyst

💻Alex The Analyst Shop - https://teespring.com/stores/alex-the-analyst-shop

____________________________________________ 

Websites: 
💻Website: AlexTheAnalyst.com
💾GitHub: https://github.com/AlexTheAnalyst
📱Instagram: @Alex_The_Analyst
____________________________________________

0:00 Intro
1:09 Syntax of For Loop
3:03 Variable Name in For Loop
3:28 Looping through a Dictionary
6:21 Nested For Loops
8:45 Outro

*All opinions or statements in this video are my own and do not reflect the opinion of the company I work for or have ever worked for*","['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'for loops in python', 'for loops', 'how to use for loops', 'how to use for loops in python', 'python for loops', 'for loop', 'for loop in python']",2283,87,0,16,PT9M17S,hd,false
2,eP8-mo5jRrY,Alex The Analyst,2022-11-16T02:06:22Z,Data Analyst Q/A Livestream | November Livestream,"This is November's Livestream where you can come and ask me anything! 
____________________________________________ 

SUBSCRIBE!
Do you want to become a Data Analyst? That's what this channel is all about! My goal is to help you learn everything you need in order to start your career or even switch your career into Data Analytics. Be sure to subscribe to not miss out on any content!
____________________________________________ 

RESOURCES:

Coursera Courses:
📖Google Data Analyst Certification: https://coursera.pxf.io/5bBd62
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
📖IBM Data Analysis Specialization - https://coursera.pxf.io/AoYOdR
📖Tableau Data Visualization - https://coursera.pxf.io/MXYqaN

Udemy Courses:
📖Python for Data Analysis and Visualization- https://bit.ly/3hhX4LX
📖Statistics for Data Science - https://bit.ly/37jqDbq
📖SQL for Data Analysts (SSMS) - https://bit.ly/3fkqEij
📖Tableau A-Z - http://bit.ly/385lYvN

*Please note I may earn a small commission for any purchase through these links - Thanks for supporting the channel!*
____________________________________________ 

SUPPORT MY CHANNEL - PATREON/MERCH

🙌Patreon Page - https://www.patreon.com/AlexTheAnalyst

💻Alex The Analyst Shop - https://teespring.com/stores/alex-the-analyst-shop

____________________________________________ 

Websites: 
💻Website: AlexTheAnalyst.com
💾GitHub: https://github.com/AlexTheAnalyst
📱Instagram: @Alex_The_Analyst
____________________________________________

*All opinions or statements in this video are my own and do not reflect the opinion of the company I work for or have ever worked for*","['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",4525,176,0,18,PT1H2M17S,hd,false
3,-BOBedcjySI,Alex The Analyst,2022-11-15T12:00:00Z,If Else Statements in Python | Python for Beginners,"In this series we will be walking through everything you need to know to get started in Python! In this video we learn about If-Else Statements in Python.

Code in GitHub: https://github.com/AlexTheAnalyst/PythonYouTubeSeries/blob/main/Python%20Basics%20101%20-%20If%20-%20Elif%20-%20Else%20Statements.ipynb

Favorite Python Courses:
📖Python for Everybody Specialization - https://imp.i384100.net/jWdkA0
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
____________________________________________ 

SUBSCRIBE!
Do you want to become a Data Analyst? That's what this channel is all about! My goal is to help you learn everything you need in order to start your career or even switch your career into Data Analytics. Be sure to subscribe to not miss out on any content!
____________________________________________ 

RESOURCES:

Coursera Courses:
📖Google Data Analyst Certification: https://coursera.pxf.io/5bBd62
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
📖IBM Data Analysis Specialization - https://coursera.pxf.io/AoYOdR
📖Tableau Data Visualization - https://coursera.pxf.io/MXYqaN

Udemy Courses:
📖Python for Data Analysis and Visualization- https://bit.ly/3hhX4LX
📖Statistics for Data Science - https://bit.ly/37jqDbq
📖SQL for Data Analysts (SSMS) - https://bit.ly/3fkqEij
📖Tableau A-Z - http://bit.ly/385lYvN

*Please note I may earn a small commission for any purchase through these links - Thanks for supporting the channel!*
____________________________________________ 

SUPPORT MY CHANNEL - PATREON/MERCH

🙌Patreon Page - https://www.patreon.com/AlexTheAnalyst

💻Alex The Analyst Shop - https://teespring.com/stores/alex-the-analyst-shop

____________________________________________ 

Websites: 
💻Website: AlexTheAnalyst.com
💾GitHub: https://github.com/AlexTheAnalyst
📱Instagram: @Alex_The_Analyst
____________________________________________

0:00 Intro
0:48 Syntax of If Statement
1:46 If/Else Statement
2:46 If/Elif/Else Statement
4:30 If/Else Statement on One Line
5:10 Nested If/Else Statement
6:13 Outro


*All opinions or statements in this video are my own and do not reflect the opinion of the company I work for or have ever worked for*","['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'if statements in python', 'if else statements in python', 'if/else statements in python', 'python if else statements', 'if else statements', 'if/else statements', 'if/else python', 'python if/else']",2176,100,0,18,PT6M40S,hd,false
4,lPVke-p4S7s,Alex The Analyst,2022-11-08T12:00:35Z,"Comparison, Logical, and Membership Operators in Python | Python for Beginners","In this series we will be walking through everything you need to know to get started in Python! In this video we learn about Operators in Python.

Code in GitHub: https://github.com/AlexTheAnalyst/PythonYouTubeSeries/blob/main/Python%20Basics%20101%20-%20Comparison%20-%20Logical%20-%20Membership%20Operators.ipynb

Favorite Python Courses:
📖Python for Everybody Specialization - https://imp.i384100.net/jWdkA0
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
____________________________________________ 

SUBSCRIBE!
Do you want to become a Data Analyst? That's what this channel is all about! My goal is to help you learn everything you need in order to start your career or even switch your career into Data Analytics. Be sure to subscribe to not miss out on any content!
____________________________________________ 

RESOURCES:

Coursera Courses:
📖Google Data Analyst Certification: https://coursera.pxf.io/5bBd62
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
📖IBM Data Analysis Specialization - https://coursera.pxf.io/AoYOdR
📖Tableau Data Visualization - https://coursera.pxf.io/MXYqaN

Udemy Courses:
📖Python for Data Analysis and Visualization- https://bit.ly/3hhX4LX
📖Statistics for Data Science - https://bit.ly/37jqDbq
📖SQL for Data Analysts (SSMS) - https://bit.ly/3fkqEij
📖Tableau A-Z - http://bit.ly/385lYvN

*Please note I may earn a small commission for any purchase through these links - Thanks for supporting the channel!*
____________________________________________ 

SUPPORT MY CHANNEL - PATREON/MERCH

🙌Patreon Page - https://www.patreon.com/AlexTheAnalyst

💻Alex The Analyst Shop - https://teespring.com/stores/alex-the-analyst-shop

____________________________________________ 

Websites: 
💻Website: AlexTheAnalyst.com
💾GitHub: https://github.com/AlexTheAnalyst
📱Instagram: @Alex_The_Analyst
____________________________________________

0:00 Comparison Operators
2:54 Logical Operators
5:05 Membership Operators
6:50 Outro

*All opinions or statements in this video are my own and do not reflect the opinion of the company I work for or have ever worked for*","['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'operators in python', 'logical operators in python', 'python operators', 'membership operators in python', 'comparison operators in python', 'python logical operators', 'python membership operators', 'python comparison operators', 'python for beginners']",2208,92,0,9,PT7M15S,hd,false
5,ppsCxnNm-JI,Alex The Analyst,2022-11-01T11:00:37Z,Data Types in Python | Python for Beginners,"In this series, we will be walking through everything you need to know to get started in Python! In this video, we learn about Data Types in Python.

Code in GitHub: https://github.com/AlexTheAnalyst/PythonYouTubeSeries/blob/main/Python%20Basics%20101%20-%20Data%20Types.ipynb

Favorite Python Courses:
📖Python for Everybody Specialization - https://imp.i384100.net/jWdkA0
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
____________________________________________ 

SUBSCRIBE!
Do you want to become a Data Analyst? That's what this channel is all about! My goal is to help you learn everything you need in order to start your career or even switch your career into Data Analytics. Be sure to subscribe to not miss out on any content!
____________________________________________ 

RESOURCES:

Coursera Courses:
📖Google Data Analyst Certification: https://coursera.pxf.io/5bBd62
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
📖IBM Data Analysis Specialization - https://coursera.pxf.io/AoYOdR
📖Tableau Data Visualization - https://coursera.pxf.io/MXYqaN

Udemy Courses:
📖Python for Data Analysis and Visualization- https://bit.ly/3hhX4LX
📖Statistics for Data Science - https://bit.ly/37jqDbq
📖SQL for Data Analysts (SSMS) - https://bit.ly/3fkqEij
📖Tableau A-Z - http://bit.ly/385lYvN

*Please note I may earn a small commission for any purchase through these links - Thanks for supporting the channel!*
____________________________________________ 

SUPPORT MY CHANNEL - PATREON/MERCH

🙌Patreon Page - https://www.patreon.com/AlexTheAnalyst

💻Alex The Analyst Shop - https://teespring.com/stores/alex-the-analyst-shop

____________________________________________ 

Websites: 
💻Website: AlexTheAnalyst.com
💾GitHub: https://github.com/AlexTheAnalyst
📱Instagram: @Alex_The_Analyst
____________________________________________

0:00 Intro
0:20 Numeric
1:57 Boolean 
2:44 Strings
7:25 Lists
11:16 Tuples
12:45 Sets
16:40 Dictionaries
21:38 Outro

*All opinions or statements in this video are my own and do not reflect the opinion of the company I work for or have ever worked for*","['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'Data Types', 'Data Types in Python', 'Python Data Types', 'Types of data in python']",4625,192,0,30,PT21M58S,hd,false
6,rVhHGPDzEck,Alex The Analyst,2022-10-31T01:22:29Z,Data Analyst Q/A Livestream | October Livestream,"This is October's Livestream where you can come and ask me anything! 
____________________________________________ 

SUBSCRIBE!
Do you want to become a Data Analyst? That's what this channel is all about! My goal is to help you learn everything you need in order to start your career or even switch your career into Data Analytics. Be sure to subscribe to not miss out on any content!
____________________________________________ 

RESOURCES:

Coursera Courses:
📖Google Data Analyst Certification: https://coursera.pxf.io/5bBd62
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
📖IBM Data Analysis Specialization - https://coursera.pxf.io/AoYOdR
📖Tableau Data Visualization - https://coursera.pxf.io/MXYqaN

Udemy Courses:
📖Python for Data Analysis and Visualization- https://bit.ly/3hhX4LX
📖Statistics for Data Science - https://bit.ly/37jqDbq
📖SQL for Data Analysts (SSMS) - https://bit.ly/3fkqEij
📖Tableau A-Z - http://bit.ly/385lYvN

*Please note I may earn a small commission for any purchase through these links - Thanks for supporting the channel!*
____________________________________________ 

SUPPORT MY CHANNEL - PATREON/MERCH

🙌Patreon Page - https://www.patreon.com/AlexTheAnalyst

💻Alex The Analyst Shop - https://teespring.com/stores/alex-the-analyst-shop

____________________________________________ 

Websites: 
💻Website: AlexTheAnalyst.com
💾GitHub: https://github.com/AlexTheAnalyst
📱Instagram: @Alex_The_Analyst
____________________________________________

*All opinions or statements in this video are my own and do not reflect the opinion of the company I work for or have ever worked for*","['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'livestream']",4926,175,0,17,PT1H14M58S,hd,false
7,pHOH7UfOhbE,Alex The Analyst,2022-10-25T11:00:27Z,Variables in Python | Python for Beginners,"In this series we will be walking through everything you need to know to get started in Python! In this video we learn about Variables in Python.

Code in GitHub: https://github.com/AlexTheAnalyst/PythonYouTubeSeries/blob/main/Python%20Basics%20101%20-%20Variables.ipynb

Favorite Python Courses:
📖Python for Everybody Specialization - https://imp.i384100.net/jWdkA0
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
____________________________________________ 

SUBSCRIBE!
Do you want to become a Data Analyst? That's what this channel is all about! My goal is to help you learn everything you need in order to start your career or even switch your career into Data Analytics. Be sure to subscribe to not miss out on any content!
____________________________________________ 

RESOURCES:

Coursera Courses:
📖Google Data Analyst Certification: https://coursera.pxf.io/5bBd62
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
📖IBM Data Analysis Specialization - https://coursera.pxf.io/AoYOdR
📖Tableau Data Visualization - https://coursera.pxf.io/MXYqaN

Udemy Courses:
📖Python for Data Analysis and Visualization- https://bit.ly/3hhX4LX
📖Statistics for Data Science - https://bit.ly/37jqDbq
📖SQL for Data Analysts (SSMS) - https://bit.ly/3fkqEij
📖Tableau A-Z - http://bit.ly/385lYvN

*Please note I may earn a small commission for any purchase through these links - Thanks for supporting the channel!*
____________________________________________ 

SUPPORT MY CHANNEL - PATREON/MERCH

🙌Patreon Page - https://www.patreon.com/AlexTheAnalyst

💻Alex The Analyst Shop - https://teespring.com/stores/alex-the-analyst-shop

____________________________________________ 

Websites: 
💻Website: AlexTheAnalyst.com
💾GitHub: https://github.com/AlexTheAnalyst
📱Instagram: @Alex_The_Analyst
____________________________________________

0:00 Introduction
0:16 Writing a Variable
3:18 Assigning Multiple Variables
4:46 Creating a List Variable
6:07 Naming Variables
9:53 Operators with Variables
12:42 Outro

*All opinions or statements in this video are my own and do not reflect the opinion of the company I work for or have ever worked for*","['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python variables', 'variables in python', 'how to use variables', 'how to use variables in python', 'variables']",4816,216,0,22,PT13M17S,hd,false
8,sXHIIW3Wt84,Alex The Analyst,2022-10-19T10:56:23Z,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,"Time to Celebrate!!

Normally I do giveaways via a drawing, but I haven't had the best luck with that. This time we're doing something different! 

I'll be giving away things to people directly in the chat! 
____________________________________________ 

SUBSCRIBE!
Do you want to become a Data Analyst? That's what this channel is all about! My goal is to help you learn everything you need in order to start your career or even switch your career into Data Analytics. Be sure to subscribe to not miss out on any content!
____________________________________________ 

RESOURCES:

Coursera Courses:
📖Google Data Analyst Certification: https://coursera.pxf.io/5bBd62
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
📖IBM Data Analysis Specialization - https://coursera.pxf.io/AoYOdR
📖Tableau Data Visualization - https://coursera.pxf.io/MXYqaN

Udemy Courses:
📖Python for Data Analysis and Visualization- https://bit.ly/3hhX4LX
📖Statistics for Data Science - https://bit.ly/37jqDbq
📖SQL for Data Analysts (SSMS) - https://bit.ly/3fkqEij
📖Tableau A-Z - http://bit.ly/385lYvN

*Please note I may earn a small commission for any purchase through these links - Thanks for supporting the channel!*
____________________________________________ 

SUPPORT MY CHANNEL - PATREON/MERCH

🙌Patreon Page - https://www.patreon.com/AlexTheAnalyst

💻Alex The Analyst Shop - https://teespring.com/stores/alex-the-analyst-shop

____________________________________________ 

Websites: 
💻Website: AlexTheAnalyst.com
💾GitHub: https://github.com/AlexTheAnalyst
📱Instagram: @Alex_The_Analyst
____________________________________________

*All opinions or statements in this video are my own and do not reflect the opinion of the company I work for or have ever worked for*","['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst']",5110,247,0,23,PT1H24M24S,hd,false
9,WUeBzT43JyY,Alex The Analyst,2022-10-18T11:00:30Z,Installing Jupyter Notebooks/Anaconda | Python for Beginners,"In this series we will be walking through everything you need to know to get started in Python! In this video we are going to set up our environment using Anaconda and Jupyter Notebooks.

Link to Download Anaconda/Jupyter Notebooks: https://www.anaconda.com/

Favorite Python Courses:
📖Python for Everybody Specialization - https://imp.i384100.net/jWdkA0
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
____________________________________________ 

SUBSCRIBE!
Do you want to become a Data Analyst? That's what this channel is all about! My goal is to help you learn everything you need in order to start your career or even switch your career into Data Analytics. Be sure to subscribe to not miss out on any content!
____________________________________________ 

RESOURCES:

Coursera Courses:
📖Google Data Analyst Certification: https://coursera.pxf.io/5bBd62
📖Data Analysis with Python - https://coursera.pxf.io/BXY3Wy
📖IBM Data Analysis Specialization - https://coursera.pxf.io/AoYOdR
📖Tableau Data Visualization - https://coursera.pxf.io/MXYqaN

Udemy Courses:
📖Python for Data Analysis and Visualization- https://bit.ly/3hhX4LX
📖Statistics for Data Science - https://bit.ly/37jqDbq
📖SQL for Data Analysts (SSMS) - https://bit.ly/3fkqEij
📖Tableau A-Z - http://bit.ly/385lYvN

*Please note I may earn a small commission for any purchase through these links - Thanks for supporting the channel!*
____________________________________________ 

SUPPORT MY CHANNEL - PATREON/MERCH

🙌Patreon Page - https://www.patreon.com/AlexTheAnalyst

💻Alex The Analyst Shop - https://teespring.com/stores/alex-the-analyst-shop

____________________________________________ 

Websites: 
💻Website: AlexTheAnalyst.com
💾GitHub: https://github.com/AlexTheAnalyst
📱Instagram: @Alex_The_Analyst
____________________________________________

0:00 Intro
0:52 Downloading Anaconda
3:52 Jupyter Notebooks
7:41 Outro

*All opinions or statements in this video are my own and do not reflect the opinion of the company I work for or have ever worked for*","['Data Analyst', 'Data Analyst job', 'Data Analyst Career', 'Data Analytics', 'Alex The Analyst', 'python for beginners', 'how to install jupyter notebooks', 'how to install anaconda', 'how to use python', 'python']",9348,482,0,43,PT10M3S,hd,false
